"type","company","description","sku","diameter_in","weight_gr","sectional_density","name","product_name","bc_g1","bc_g7","bc_fn"
"rifle","Sierra","Sierra .257 90gr BlitzKing 1616","1616","0.257","90","0.195",".25 Caliber (.257) 90 gr. BlitzKing","BlitzKing","","","{"".388"": [3100, null], "".375"": [3100, 2900] , "".345"": [2900, 2400] , "".330"": [0, 2400]}"
"rifle","Sierra","Sierra .257 100gr Pro-Hunter 1620","1620","0.257","100","0.216",".25 Caliber (.257) 100 gr. SPT","Pro-Hunter","","","{"".330"": [2400, null], "".322"": [1700, 2400] , "".296"": [0, 1700]}"
"rifle","Sierra","Sierra .257 100gr GameKing 1625","1625","0.257","100","0.216",".25 Caliber (.257) 100 gr. SBT","GameKing","","","{"".355"": [2800, null], "".333"": [1600, 2800] , "".310"": [0, 1600]}"
"rifle","Sierra","Sierra .257 100gr MatchKing 1628","1628","0.257","100","0.216",".25 Caliber (.257) 100 gr. HPBT MatchKing","MatchKing","","","{"".394"": [3250, null], "".386"": [2800, 3250] , "".376"": [2350, 2800] , "".372"": [0, 2300]}"
"rifle","Sierra","Sierra .257 117gr GameKing 1630","1630","0.257","117","0.253",".25 Caliber (.257) 117 gr. SBT","GameKing","","","{"".410"": [2500, null], "".403"": [1800, 2500] , "".370"": [0, 1800]}"
"rifle","Sierra","Sierra .257 117gr Pro-Hunter 1640","1640","0.257","117","0.253",".25 Caliber (.257) 117 gr. SPT","Pro-Hunter","","","{"".388"": [2500, null], "".383"": [1800, 2500] , "".362"": [0, 1800]}"
"rifle","Sierra","Sierra .257 120gr GameKing 1650","1650","0.257","120","0.26",".25 Caliber (.257) 120 gr. HPBT","GameKing","","","{"".350"": [2400, null], "".357"": [1600, 2400] , "".330"": [0, 1600]}"
"rifle","Sierra","Sierra .264 85gr Varminter 1700","1700","0.264","85","0.174","6.5 mm/.264 Caliber (.264) 85 gr. HP","Varminter","","","{"".225"": [2700, null], "".237"": [2100, 2700] , "".250"": [1600, 2100] , "".264"": [0, 1600]}"
"rifle","Sierra","Sierra .264 100gr Varminter 1710","1710","0.264","100","0.205","6.5 mm/.264 Caliber (.264) 100 gr. HP","Varminter","","","{"".259"": [2300, null], "".282"": [1800, 2300] , "".300"": [0, 1800]}"
"rifle","Sierra","Sierra .264 107gr MatchKing 1715","1715","0.264","107","0.219","6.5 mm/.264 Caliber (.264) 107 gr. HPBT MatchKing","MatchKing","","","{"".430"": [3350, null], "".420"": [2800, 3350] , "".406"": [2300, 2800] , "".395"": [1800, 2300] , "".385"": [0, 1800]}"
"rifle","Sierra","Sierra .264 107gr Tipped MatchKing 7407","7407","0.264","107","0.219","6.5 mm/.264 Caliber (.264) 107 gr. Tipped MatchKing","Tipped MatchKing","","","{"".445"": [2200, null], "".455"": [2200, 1600] , "".415"": [0, 1600]}"
"rifle","Sierra","Sierra .264 120gr Pro-Hunter 1720","1720","0.264","120","0.246","6.5 mm/.264 Caliber (.264) 120 gr. SPT","Pro-Hunter","","","{"".356"": [2800, null], "".368"": [2200, 2800] , "".386"": [1800, 2200] , "".400"": [0, 1800]}"
"rifle","Sierra","Sierra .264 120gr MatchKing 1725","1725","0.264","120","0.246","6.5 mm/.264 Caliber (.264) 120 gr. HPBT MatchKing","MatchKing","","","{"".421"": [3100, null], "".409"": [2800, 3100] , "".403"": [2000, 2800] , "".417"": [0, 2000]}"
"rifle","Sierra","Sierra .264 123gr MatchKing 1727","1727","0.264","123","0.252","6.5 mm/.264 Caliber (.264) 123 gr. HPBT MatchKing","MatchKing","","","{"".510"": [1635, null], "".477"": [1400, 1635] , "".450"": [1250, 1400] , "".420"": [0, 1250]}"
